Store #,# of McDonalds <1 mi,# of Subway <1 mi,# of Wendys <1 mi,# of Burger King <1 mi,# of Taco Bell <1 mi,# of McDonalds <0.5 mi,# of Subway <0.5 mi,# of Wendys <0.5 mi,# of Burger King <0.5 mi,# of Taco Bell <0.5 mi
6696,1,2,0,1,0,1,1,0,1,0
7499,1,1,1,1,1,1,1,0,1,0
7074,1,2,0,0,1,1,2,0,0,1
5486,1,0,1,1,0,1,0,1,1,0
1950,1,1,1,0,0,0,1,1,0,0
7708,0,1,0,0,0,0,1,0,0,0
5514,1,9,1,0,0,0,7,0,0,0
7016,1,1,1,0,0,1,1,1,0,0
8360,1,1,1,0,0,0,1,1,0,0
6702,1,1,1,0,1,1,0,1,0,1
7474,1,1,0,0,0,1,0,0,0,0
1006,1,2,0,1,1,1,1,0,0,0
1585,1,1,1,2,0,1,0,1,1,0
5288,1,2,1,1,0,1,2,1,1,0
5700,1,2,1,1,1,1,2,1,1,1
6690,0,2,1,0,0,0,1,0,0,0
7586,1,1,0,1,0,0,0,0,0,0
6604,1,1,0,0,0,1,0,0,0,0
8365,1,1,1,0,0,1,1,1,0,0
5341,2,1,1,1,1,0,0,1,1,0
270,1,1,1,0,1,0,0,0,0,0
6845,1,2,2,1,0,1,1,1,1,0
6708,1,1,1,1,0,0,1,1,0,0
7496,1,1,0,1,0,0,1,0,1,0
7407,0,1,1,0,0,0,1,1,0,0
108,1,1,0,1,0,1,0,0,1,0
7783,0,1,1,0,0,0,0,1,0,0
5238,1,2,1,1,1,1,1,1,1,1
933,1,1,1,1,1,1,1,1,1,0
493,1,2,1,1,0,1,1,1,1,0
5882,1,1,0,0,0,1,1,0,0,0
7386,1,2,0,1,1,0,2,0,0,1
1399,0,0,0,0,1,0,0,0,0,1
7090,2,2,1,1,0,2,1,1,1,0
707,1,2,0,0,1,1,2,0,0,1
6527,1,1,1,1,0,0,0,0,0,0
7159,2,2,1,0,0,1,1,0,0,0
5358,2,2,1,1,0,0,1,1,0,0
402,0,1,0,1,0,0,1,0,1,0
758,1,0,1,0,0,1,0,1,0,0
7320,0,0,0,1,0,0,0,0,1,0
1484,1,2,0,0,0,1,2,0,0,0
42,0,1,0,0,0,0,0,0,0,0
7879,0,0,0,0,0,0,0,0,0,0
1875,1,2,1,1,1,1,1,1,1,1
1952,1,1,1,0,0,1,1,1,0,0
705,1,2,1,0,0,1,2,1,0,0
5864,1,1,1,1,1,1,1,1,1,1
50,1,1,0,1,0,1,1,0,0,0
7906,1,2,0,1,0,1,0,0,1,0
7286,1,1,0,1,0,1,1,0,1,0
1815,2,1,1,0,1,2,1,1,0,1
6943,1,1,1,0,1,1,1,1,0,1
1645,3,3,0,2,1,1,0,0,0,0
7342,1,1,1,1,0,1,1,0,0,0
217,1,2,0,1,0,1,2,0,1,0
5805,1,2,0,1,0,1,0,0,0,0
