rest_dma_code,fiscal_year,fiscal_week_number,OnAir_TY,Equal_TRPS_CM_TY
501,2016,36,1,136.3
501,2016,37,1,113.2
501,2016,38,1,103.2
501,2016,39,1,100.5
501,2016,40,1,145.4
501,2016,41,1,121.9
501,2016,42,1,111.6
501,2016,43,0,60.3
501,2016,44,1,69.4
501,2016,45,1,127.4
501,2016,46,1,111
501,2016,47,1,105.9
501,2016,48,0,54.9
501,2016,49,0,20.4
501,2016,50,0,6.5
501,2016,51,0,0
501,2016,52,0,0
501,2017,1,0,0
501,2017,2,0,0
501,2017,3,0,0
501,2017,4,0,0
501,2017,5,1,31.5
501,2017,6,1,90.8
501,2017,7,1,99.8
501,2017,8,1,107.7
501,2017,9,1,119
501,2017,10,1,164.1
501,2017,11,1,157.9
501,2017,12,1,149.3
501,2017,13,1,140.2
501,2017,14,1,160.8
501,2017,15,1,120.3
501,2017,16,1,98.9
501,2017,17,0,53.3
501,2017,18,1,74.1
501,2017,19,1,136.1
501,2017,20,1,117.6
501,2017,21,1,109.9
501,2017,22,0,56.4
501,2017,23,0,20.7
501,2017,24,0,6.6
501,2017,25,0,0
501,2017,26,0,0
501,2017,27,1,47.8
501,2017,28,1,126
501,2017,29,1,116.2
501,2017,30,1,117.2
501,2017,31,1,107.4
501,2017,32,1,146.2
501,2017,33,1,141.4
501,2017,34,1,161.2
501,2017,35,1,154
501,2017,36,1,193.6
501,2017,37,1,152.8
501,2017,38,1,126.8
501,2017,39,1,108.6
501,2017,40,1,140.8
501,2017,41,1,115.9
501,2017,42,1,101.1
501,2017,43,1,99.7
501,2017,44,1,140
501,2017,45,1,126
501,2017,46,1,106.3
501,2017,47,1,55.3
501,2017,48,1,51.9
501,2017,49,0,70
501,2017,50,0,16
501,2017,51,0,16
501,2017,52,0,0
501,2018,1,0,0
501,2018,2,0,0
501,2018,3,0,0
501,2018,4,0,0
501,2018,5,0,0
501,2018,6,0,0
501,2018,7,1,42
501,2018,8,1,122.8
501,2018,9,1,129.8
501,2018,10,1,143.9
501,2018,11,1,154.3
501,2018,12,1,146.1
501,2018,13,1,137.9
501,2018,14,1,125.4
501,2018,15,1,126.5
501,2018,16,1,112.5
501,2018,17,1,100.7
501,2018,18,1,95.5
501,2018,19,1,116.7
501,2018,20,1,107.4
501,2018,21,1,100.5
501,2018,22,0,61.5
501,2018,23,1,56.5
501,2018,24,1,106.1
501,2018,25,1,97.9
501,2018,26,1,99.2
501,2018,27,0,63.8
501,2018,28,1,31.7
501,2018,29,1,39.4
501,2018,30,1,34.8
501,2018,31,1,39.3
501,2018,32,1,62.2
501,2018,33,1,102.1
501,2018,34,1,101.8
501,2018,35,1,102.6
501,2018,36,0,64.4
501,2018,37,1,52.9
501,2018,38,1,97.7
501,2018,39,1,99.8
501,2018,40,1,106.6
501,2018,41,1,87.7
501,2018,42,0,59.6
501,2018,43,1,56.3
501,2018,44,1,115.1
501,2018,45,1,114.3
501,2018,46,1,113.6
501,2018,47,0,64.7
501,2018,48,0,23.9
501,2018,49,0,8.3
501,2018,50,0,0
501,2018,51,0,0
501,2018,52,0,0
504,2015,1,0,0
504,2015,2,0,0
504,2015,3,0,0
504,2015,4,0,0
504,2015,5,0,0
504,2015,6,0,0
504,2015,7,0,0
504,2015,8,0,0
504,2015,9,0,0
504,2015,10,1,54
504,2015,11,1,146.8
504,2015,12,1,143.3
504,2015,13,1,147.2
504,2015,14,0,85.3
